Título,Precio,Ubicación,Habitaciones,Baños,Área
Lote A De 2hectareas 5.000 M2,$ 4.182.900.000,Villavicencio, Meta,No disponible,No disponible,No disponible
Se Vende Hermosa Casa Campestre  Cerca Al Aeropuerto Vanguardia Villavicencio,$ 900.000.000,Villavicencio, Meta,3 habitaciones,,100 m²
Area Archivo Clinica Martha En Liquidacion,$ 288.241.250,Villavicencio, Meta,1 habitación,No disponible,No disponible
Planta De Oxigeno Clinica Martha,$ 1.908.768.000,Villavicencio, Meta,No disponible,No disponible,No disponible
Oficinas En 2 Piso Clinica Meta En Liquidación,$ 669.006.360,Villavicencio, Meta,No disponible,No disponible,No disponible
Oficinas En 4 Piso Clinica Meta En Liquidación,$ 813.648.500,Villavicencio, Meta,No disponible,No disponible,No disponible
Area Útil En Clinica Martha En Liquidación,$ 427.024.240,Villavicencio, Meta,No disponible,No disponible,No disponible
Areas De Oficinas En Clinica Martha En Liquidación.,$ 931.680.550,Villavicencio, Meta,1 habitación,No disponible,No disponible
Areas Utiles Clinica Martha En Liquidación,$ 5.818.344.000,Villavicencio, Meta,No disponible,No disponible,No disponible
Venta Casa Barzal* Centro Salud/ Oficinas .oportunidad!,$ 1.650.000.000,Villavicencio, Meta,20 habitaciones,,550 m²
Casa Para Uso Comercial En Villavicencio Barrio El Triunfo,$ 470.000.000,Villavicencio, Meta,No disponible,,No disponible
Gran Bodega,$ 3.499.000.000,Villavicencio, Meta,No disponible,No disponible,No disponible
Inversionistas Vendemos  Apto Barzal  Alto - Villavicencio,$ 290.000.000,Villavicencio, Meta,2 habitaciones,,65 m²
Inversionistas Venta Inmueble Habitaciones Amobladas Villavicencio,$ 710.000.000,Villavicencio, Meta,7 habitaciones,,101 m²
Venta  Apartamento  Conjunto Cantarrana,$ 175.000.000,Villavicencio, Meta,3 habitaciones,,67 m²
Vendemos Casa En Conjunto  En Vanguardia, Villavicencio,$ 650.000.000,Villavicencio, Meta,No disponible,No disponible,No disponible
Venta Casa En Hacaritama Villavicencio,$ 240.000.000,Villavicencio, Meta,3 habitaciones,,111 m²
Vendemos Casa En Conjunto Cerca De Primavera Urbana-villavicencio,$ 450.000.000,Villavicencio, Meta,3 habitaciones,,260 m²
Venta Casa Campestre  Aldea De La Aurora Villavicencio,$ 830.000.000,Villavicencio, Meta,4 habitaciones,,No disponible
Vendo Lote  En Condominio La Florida Villavicencio,$ 450.000.000,Villavicencio, Meta,No disponible,No disponible,No disponible
B604 Palos De Caña,$ 850.000.000,Villavicencio, Meta,3 habitaciones,,192 m²
Balcones De Toledo Casa 32,$ 2.000.000.000,Villavicencio, Meta,3 habitaciones,,301 m²
Venta Casa Campestre,$ 2.000.000.000,Villavicencio, Meta,4 habitaciones,,370 m²
Venta Casa Con Jardines,$ 320.000.000,Villavicencio, Meta,3 habitaciones,,86 m²
Venta Apartamento Sector  Cantarrana,$ 170.000.000,Villavicencio, Meta,3 habitaciones,,75 m²
Lote Vanguardia Via Restrepo,$ 3.500.000.000,Villavicencio, Meta,No disponible,No disponible,No disponible
Lote Via Catama Uso Comercial O Urbano,$ 1.500.000.000,Villavicencio, Meta,No disponible,No disponible,No disponible
Lote Via Vereda El Carmen Limite Con Balcones De Toledo,$ 31.573.200.000,Villavicencio, Meta,No disponible,No disponible,No disponible
Lote Vereda Del Carmen Sansouci Manzana 2,$ 10.812.108,Villavicencio, Meta,No disponible,No disponible,No disponible
Casa Grande Y Esquinera En Guarupay Cerca A Villavicencio,$ 95.000.000,Villavicencio, Meta,2 habitaciones,,No disponible
Lote A De 2hectareas 5.000 M2,$ 4.182.900.000,Villavicencio, Meta,No disponible,No disponible,No disponible
Se Vende Hermosa Casa Campestre  Cerca Al Aeropuerto Vanguardia Villavicencio,$ 900.000.000,Villavicencio, Meta,3 habitaciones,,100 m²
Area Archivo Clinica Martha En Liquidacion,$ 288.241.250,Villavicencio, Meta,1 habitación,No disponible,No disponible
Planta De Oxigeno Clinica Martha,$ 1.908.768.000,Villavicencio, Meta,No disponible,No disponible,No disponible
Oficinas En 2 Piso Clinica Meta En Liquidación,$ 669.006.360,Villavicencio, Meta,No disponible,No disponible,No disponible
Oficinas En 4 Piso Clinica Meta En Liquidación,$ 813.648.500,Villavicencio, Meta,No disponible,No disponible,No disponible
Area Útil En Clinica Martha En Liquidación,$ 427.024.240,Villavicencio, Meta,No disponible,No disponible,No disponible
Areas De Oficinas En Clinica Martha En Liquidación.,$ 931.680.550,Villavicencio, Meta,1 habitación,No disponible,No disponible
Areas Utiles Clinica Martha En Liquidación,$ 5.818.344.000,Villavicencio, Meta,No disponible,No disponible,No disponible
Venta Casa Barzal* Centro Salud/ Oficinas .oportunidad!,$ 1.650.000.000,Villavicencio, Meta,20 habitaciones,,550 m²
Casa Para Uso Comercial En Villavicencio Barrio El Triunfo,$ 470.000.000,Villavicencio, Meta,No disponible,,No disponible
Gran Bodega,$ 3.499.000.000,Villavicencio, Meta,No disponible,No disponible,No disponible
Inversionistas Vendemos  Apto Barzal  Alto - Villavicencio,$ 290.000.000,Villavicencio, Meta,2 habitaciones,,65 m²
Inversionistas Venta Inmueble Habitaciones Amobladas Villavicencio,$ 710.000.000,Villavicencio, Meta,7 habitaciones,,101 m²
Venta  Apartamento  Conjunto Cantarrana,$ 175.000.000,Villavicencio, Meta,3 habitaciones,,67 m²
Vendemos Casa En Conjunto  En Vanguardia, Villavicencio,$ 650.000.000,Villavicencio, Meta,No disponible,No disponible,No disponible
Venta Casa En Hacaritama Villavicencio,$ 240.000.000,Villavicencio, Meta,3 habitaciones,,111 m²
Vendemos Casa En Conjunto Cerca De Primavera Urbana-villavicencio,$ 450.000.000,Villavicencio, Meta,3 habitaciones,,260 m²
Venta Casa Campestre  Aldea De La Aurora Villavicencio,$ 830.000.000,Villavicencio, Meta,4 habitaciones,,No disponible
Vendo Lote  En Condominio La Florida Villavicencio,$ 450.000.000,Villavicencio, Meta,No disponible,No disponible,No disponible
B604 Palos De Caña,$ 850.000.000,Villavicencio, Meta,3 habitaciones,,192 m²
Balcones De Toledo Casa 32,$ 2.000.000.000,Villavicencio, Meta,3 habitaciones,,301 m²
Venta Casa Campestre,$ 2.000.000.000,Villavicencio, Meta,4 habitaciones,,370 m²
Venta Casa Con Jardines,$ 320.000.000,Villavicencio, Meta,3 habitaciones,,86 m²
Venta Apartamento Sector  Cantarrana,$ 170.000.000,Villavicencio, Meta,3 habitaciones,,75 m²
Lote Vanguardia Via Restrepo,$ 3.500.000.000,Villavicencio, Meta,No disponible,No disponible,No disponible
Lote Via Catama Uso Comercial O Urbano,$ 1.500.000.000,Villavicencio, Meta,No disponible,No disponible,No disponible
Lote Via Vereda El Carmen Limite Con Balcones De Toledo,$ 31.573.200.000,Villavicencio, Meta,No disponible,No disponible,No disponible
Lote Vereda Del Carmen Sansouci Manzana 2,$ 10.812.108,Villavicencio, Meta,No disponible,No disponible,No disponible
Casa Grande Y Esquinera En Guarupay Cerca A Villavicencio,$ 95.000.000,Villavicencio, Meta,2 habitaciones,,No disponible
Lote A De 2hectareas 5.000 M2,$ 4.182.900.000,Villavicencio, Meta,No disponible,No disponible,No disponible
Se Vende Hermosa Casa Campestre  Cerca Al Aeropuerto Vanguardia Villavicencio,$ 900.000.000,Villavicencio, Meta,3 habitaciones,,100 m²
Area Archivo Clinica Martha En Liquidacion,$ 288.241.250,Villavicencio, Meta,1 habitación,No disponible,No disponible
Planta De Oxigeno Clinica Martha,$ 1.908.768.000,Villavicencio, Meta,No disponible,No disponible,No disponible
Oficinas En 2 Piso Clinica Meta En Liquidación,$ 669.006.360,Villavicencio, Meta,No disponible,No disponible,No disponible
Oficinas En 4 Piso Clinica Meta En Liquidación,$ 813.648.500,Villavicencio, Meta,No disponible,No disponible,No disponible
Area Útil En Clinica Martha En Liquidación,$ 427.024.240,Villavicencio, Meta,No disponible,No disponible,No disponible
Areas De Oficinas En Clinica Martha En Liquidación.,$ 931.680.550,Villavicencio, Meta,1 habitación,No disponible,No disponible
Areas Utiles Clinica Martha En Liquidación,$ 5.818.344.000,Villavicencio, Meta,No disponible,No disponible,No disponible
Venta Casa Barzal* Centro Salud/ Oficinas .oportunidad!,$ 1.650.000.000,Villavicencio, Meta,20 habitaciones,,550 m²
Casa Para Uso Comercial En Villavicencio Barrio El Triunfo,$ 470.000.000,Villavicencio, Meta,No disponible,,No disponible
Gran Bodega,$ 3.499.000.000,Villavicencio, Meta,No disponible,No disponible,No disponible
Inversionistas Vendemos  Apto Barzal  Alto - Villavicencio,$ 290.000.000,Villavicencio, Meta,2 habitaciones,,65 m²
Inversionistas Venta Inmueble Habitaciones Amobladas Villavicencio,$ 710.000.000,Villavicencio, Meta,7 habitaciones,,101 m²
Venta  Apartamento  Conjunto Cantarrana,$ 175.000.000,Villavicencio, Meta,3 habitaciones,,67 m²
Vendemos Casa En Conjunto  En Vanguardia, Villavicencio,$ 650.000.000,Villavicencio, Meta,No disponible,No disponible,No disponible
Venta Casa En Hacaritama Villavicencio,$ 240.000.000,Villavicencio, Meta,3 habitaciones,,111 m²
Vendemos Casa En Conjunto Cerca De Primavera Urbana-villavicencio,$ 450.000.000,Villavicencio, Meta,3 habitaciones,,260 m²
Venta Casa Campestre  Aldea De La Aurora Villavicencio,$ 830.000.000,Villavicencio, Meta,4 habitaciones,,No disponible
Vendo Lote  En Condominio La Florida Villavicencio,$ 450.000.000,Villavicencio, Meta,No disponible,No disponible,No disponible
B604 Palos De Caña,$ 850.000.000,Villavicencio, Meta,3 habitaciones,,192 m²
Balcones De Toledo Casa 32,$ 2.000.000.000,Villavicencio, Meta,3 habitaciones,,301 m²
Venta Casa Campestre,$ 2.000.000.000,Villavicencio, Meta,4 habitaciones,,370 m²
Venta Casa Con Jardines,$ 320.000.000,Villavicencio, Meta,3 habitaciones,,86 m²
Venta Apartamento Sector  Cantarrana,$ 170.000.000,Villavicencio, Meta,3 habitaciones,,75 m²
Lote Vanguardia Via Restrepo,$ 3.500.000.000,Villavicencio, Meta,No disponible,No disponible,No disponible
Lote Via Catama Uso Comercial O Urbano,$ 1.500.000.000,Villavicencio, Meta,No disponible,No disponible,No disponible
Lote Via Vereda El Carmen Limite Con Balcones De Toledo,$ 31.573.200.000,Villavicencio, Meta,No disponible,No disponible,No disponible
Lote Vereda Del Carmen Sansouci Manzana 2,$ 10.812.108,Villavicencio, Meta,No disponible,No disponible,No disponible
Casa Grande Y Esquinera En Guarupay Cerca A Villavicencio,$ 95.000.000,Villavicencio, Meta,2 habitaciones,,No disponible
Lote A De 2hectareas 5.000 M2,$ 4.182.900.000,Villavicencio, Meta,No disponible,No disponible,No disponible
Se Vende Hermosa Casa Campestre  Cerca Al Aeropuerto Vanguardia Villavicencio,$ 900.000.000,Villavicencio, Meta,3 habitaciones,,100 m²
Area Archivo Clinica Martha En Liquidacion,$ 288.241.250,Villavicencio, Meta,1 habitación,No disponible,No disponible
Planta De Oxigeno Clinica Martha,$ 1.908.768.000,Villavicencio, Meta,No disponible,No disponible,No disponible
Oficinas En 2 Piso Clinica Meta En Liquidación,$ 669.006.360,Villavicencio, Meta,No disponible,No disponible,No disponible
Oficinas En 4 Piso Clinica Meta En Liquidación,$ 813.648.500,Villavicencio, Meta,No disponible,No disponible,No disponible
Area Útil En Clinica Martha En Liquidación,$ 427.024.240,Villavicencio, Meta,No disponible,No disponible,No disponible
Areas De Oficinas En Clinica Martha En Liquidación.,$ 931.680.550,Villavicencio, Meta,1 habitación,No disponible,No disponible
Areas Utiles Clinica Martha En Liquidación,$ 5.818.344.000,Villavicencio, Meta,No disponible,No disponible,No disponible
Venta Casa Barzal* Centro Salud/ Oficinas .oportunidad!,$ 1.650.000.000,Villavicencio, Meta,20 habitaciones,,550 m²
Casa Para Uso Comercial En Villavicencio Barrio El Triunfo,$ 470.000.000,Villavicencio, Meta,No disponible,,No disponible
Gran Bodega,$ 3.499.000.000,Villavicencio, Meta,No disponible,No disponible,No disponible
Inversionistas Vendemos  Apto Barzal  Alto - Villavicencio,$ 290.000.000,Villavicencio, Meta,2 habitaciones,,65 m²
Inversionistas Venta Inmueble Habitaciones Amobladas Villavicencio,$ 710.000.000,Villavicencio, Meta,7 habitaciones,,101 m²
Venta  Apartamento  Conjunto Cantarrana,$ 175.000.000,Villavicencio, Meta,3 habitaciones,,67 m²
Vendemos Casa En Conjunto  En Vanguardia, Villavicencio,$ 650.000.000,Villavicencio, Meta,No disponible,No disponible,No disponible
Venta Casa En Hacaritama Villavicencio,$ 240.000.000,Villavicencio, Meta,3 habitaciones,,111 m²
Vendemos Casa En Conjunto Cerca De Primavera Urbana-villavicencio,$ 450.000.000,Villavicencio, Meta,3 habitaciones,,260 m²
Venta Casa Campestre  Aldea De La Aurora Villavicencio,$ 830.000.000,Villavicencio, Meta,4 habitaciones,,No disponible
Vendo Lote  En Condominio La Florida Villavicencio,$ 450.000.000,Villavicencio, Meta,No disponible,No disponible,No disponible
B604 Palos De Caña,$ 850.000.000,Villavicencio, Meta,3 habitaciones,,192 m²
Balcones De Toledo Casa 32,$ 2.000.000.000,Villavicencio, Meta,3 habitaciones,,301 m²
Venta Casa Campestre,$ 2.000.000.000,Villavicencio, Meta,4 habitaciones,,370 m²
Venta Casa Con Jardines,$ 320.000.000,Villavicencio, Meta,3 habitaciones,,86 m²
Venta Apartamento Sector  Cantarrana,$ 170.000.000,Villavicencio, Meta,3 habitaciones,,75 m²
Lote Vanguardia Via Restrepo,$ 3.500.000.000,Villavicencio, Meta,No disponible,No disponible,No disponible
Lote Via Catama Uso Comercial O Urbano,$ 1.500.000.000,Villavicencio, Meta,No disponible,No disponible,No disponible
Lote Via Vereda El Carmen Limite Con Balcones De Toledo,$ 31.573.200.000,Villavicencio, Meta,No disponible,No disponible,No disponible
Lote Vereda Del Carmen Sansouci Manzana 2,$ 10.812.108,Villavicencio, Meta,No disponible,No disponible,No disponible
Casa Grande Y Esquinera En Guarupay Cerca A Villavicencio,$ 95.000.000,Villavicencio, Meta,2 habitaciones,,No disponible
Lote A De 2hectareas 5.000 M2,$ 4.182.900.000,Villavicencio, Meta,No disponible,No disponible,No disponible
Se Vende Hermosa Casa Campestre  Cerca Al Aeropuerto Vanguardia Villavicencio,$ 900.000.000,Villavicencio, Meta,3 habitaciones,,100 m²
Area Archivo Clinica Martha En Liquidacion,$ 288.241.250,Villavicencio, Meta,1 habitación,No disponible,No disponible
Planta De Oxigeno Clinica Martha,$ 1.908.768.000,Villavicencio, Meta,No disponible,No disponible,No disponible
Oficinas En 2 Piso Clinica Meta En Liquidación,$ 669.006.360,Villavicencio, Meta,No disponible,No disponible,No disponible
Oficinas En 4 Piso Clinica Meta En Liquidación,$ 813.648.500,Villavicencio, Meta,No disponible,No disponible,No disponible
Area Útil En Clinica Martha En Liquidación,$ 427.024.240,Villavicencio, Meta,No disponible,No disponible,No disponible
Areas De Oficinas En Clinica Martha En Liquidación.,$ 931.680.550,Villavicencio, Meta,1 habitación,No disponible,No disponible
Areas Utiles Clinica Martha En Liquidación,$ 5.818.344.000,Villavicencio, Meta,No disponible,No disponible,No disponible
Venta Casa Barzal* Centro Salud/ Oficinas .oportunidad!,$ 1.650.000.000,Villavicencio, Meta,20 habitaciones,,550 m²
Casa Para Uso Comercial En Villavicencio Barrio El Triunfo,$ 470.000.000,Villavicencio, Meta,No disponible,,No disponible
Gran Bodega,$ 3.499.000.000,Villavicencio, Meta,No disponible,No disponible,No disponible
Inversionistas Vendemos  Apto Barzal  Alto - Villavicencio,$ 290.000.000,Villavicencio, Meta,2 habitaciones,,65 m²
Inversionistas Venta Inmueble Habitaciones Amobladas Villavicencio,$ 710.000.000,Villavicencio, Meta,7 habitaciones,,101 m²
Venta  Apartamento  Conjunto Cantarrana,$ 175.000.000,Villavicencio, Meta,3 habitaciones,,67 m²
Vendemos Casa En Conjunto  En Vanguardia, Villavicencio,$ 650.000.000,Villavicencio, Meta,No disponible,No disponible,No disponible
Venta Casa En Hacaritama Villavicencio,$ 240.000.000,Villavicencio, Meta,3 habitaciones,,111 m²
Vendemos Casa En Conjunto Cerca De Primavera Urbana-villavicencio,$ 450.000.000,Villavicencio, Meta,3 habitaciones,,260 m²
Venta Casa Campestre  Aldea De La Aurora Villavicencio,$ 830.000.000,Villavicencio, Meta,4 habitaciones,,No disponible
Vendo Lote  En Condominio La Florida Villavicencio,$ 450.000.000,Villavicencio, Meta,No disponible,No disponible,No disponible
B604 Palos De Caña,$ 850.000.000,Villavicencio, Meta,3 habitaciones,,192 m²
Balcones De Toledo Casa 32,$ 2.000.000.000,Villavicencio, Meta,3 habitaciones,,301 m²
Venta Casa Campestre,$ 2.000.000.000,Villavicencio, Meta,4 habitaciones,,370 m²
Venta Casa Con Jardines,$ 320.000.000,Villavicencio, Meta,3 habitaciones,,86 m²
Venta Apartamento Sector  Cantarrana,$ 170.000.000,Villavicencio, Meta,3 habitaciones,,75 m²
Lote Vanguardia Via Restrepo,$ 3.500.000.000,Villavicencio, Meta,No disponible,No disponible,No disponible
Lote Via Catama Uso Comercial O Urbano,$ 1.500.000.000,Villavicencio, Meta,No disponible,No disponible,No disponible
Lote Via Vereda El Carmen Limite Con Balcones De Toledo,$ 31.573.200.000,Villavicencio, Meta,No disponible,No disponible,No disponible
Lote Vereda Del Carmen Sansouci Manzana 2,$ 10.812.108,Villavicencio, Meta,No disponible,No disponible,No disponible
Casa Grande Y Esquinera En Guarupay Cerca A Villavicencio,$ 95.000.000,Villavicencio, Meta,2 habitaciones,,No disponible
